CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0004,0.95,C0005,0.93,C0007,0.92
C0002,C0005,0.96,C0007,0.94,C0008,0.91
C0003,C0006,0.97,C0004,0.95,C0001,0.93
C0004,C0001,0.95,C0003,0.94,C0006,0.92
C0005,C0002,0.96,C0007,0.94,C0008,0.92
C0006,C0003,0.97,C0004,0.95,C0001,0.93
C0007,C0005,0.96,C0002,0.94,C0008,0.91
C0008,C0002,0.95,C0005,0.93,C0007,0.92
C0009,C0010,0.94,C0011,0.92,C0012,0.91
C0010,C0009,0.94,C0011,0.92,C0012,0.91
C0011,C0009,0.94,C0010,0.92,C0012,0.91
C0012,C0009,0.94,C0010,0.92,C0011,0.91
C0013,C0014,0.95,C0015,0.93,C0016,0.92
C0014,C0013,0.95,C0015,0.93,C0016,0.92
C0015,C0013,0.95,C0014,0.93,C0016,0.92
C0016,C0013,0.95,C0014,0.93,C0015,0.92
C0017,C0018,0.94,C0019,0.92,C0020,0.91
C0018,C0017,0.94,C0019,0.92,C0020,0.91
C0019,C0017,0.94,C0018,0.92,C0020,0.91
C0020,C0017,0.94,C0018,0.92,C0019,0.91
